Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,136,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6.5,7,5.6,1,recluta,,C15,,,,,5.6,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,24,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,5,12,1,arbol,semilla,C0,,,semilla,,12,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,25,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,6.5,10,1,arbol,semilla,C0,,,semilla,,10,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,26,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,6.5,11.3,2,arbol,semilla,C0,,,semilla,,11.3,6.7,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,48,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,5,7.5,1,arbol,semilla,C6,,,semilla,,7.5,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,52,vitgau,Vitex,gaumeri,LAMIACEAE,Ya'axnik,6,6.5,7.5,3,arbol,semilla,C6,,,semilla,,7.5,6,5.1,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,72,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,5,5.5,6.8,1,arbol,semilla,C9,,,semilla,,6.8,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,73,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,6.5,8.4,1,arbol,semilla,C9,,,semilla,,8.4,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,84,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,5,5,5.3,1,arbol,semilla,C10,,,semilla,,5.3,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,119,cocspi,Coccoloba,spicata,POLYGONACEAE,Boob,6,6,4.9,2,arbol,semilla,C14,,,semilla,,4.9,4.4,,,,,,,,,,,
